Iso3_code,2017,2018,2019,2020,2021,2022,2017-2022,country
ALB,1.52812001298902,1.59888050557992,1.63541743508089,1.4301415944823,1.75149139492278,1.12584046629498,9.06989140934989,Albania
ARE,,,0.0,,0.0427115650638618,,0.0427115650638618,United Arab Emirates
ARG,2.8260375711821,2.73339722367898,2.5209227650053,2.68451714396153,2.41845820307893,2.30497180881048,15.488304715717321,Argentina
ARM,0.631153085128876,0.211524041293723,0.709068489634482,,,,1.5517456160570808,Armenia
ATG,10.9746595111887,3.27419768514224,2.17116368945846,3.23750323750324,4.29094770943848,8.53215020850442,32.48062204123554,Antigua and Barbuda
AUS,0.0935326864612738,0.100083149080256,0.149858994517133,0.0779118046941161,0.0964465651886771,0.10314235208914,0.6209755520305961,Australia
AUT,0.181869932080674,0.0904924861260879,0.101352036162407,0.134713745079159,0.179330340160514,0.145420100212347,0.8331786398211889,Austria
AZE,0.17872094779293,0.147746540219268,0.185678282276529,0.175012987422108,0.164840620452338,,0.851999378163173,Azerbaijan
BGR,0.236688730233184,,,,,,0.236688730233184,Bulgaria
BHS,26.81569846123,20.1539412773867,19.5275325850251,14.2691431010538,25.4961014254527,28.5376990321573,134.8001158823056,Bahamas
BIH,0.668599403434915,0.441159732468974,0.624867587582631,0.361619186067536,0.428011127066415,0.494815799406623,3.019072836027094,Bosnia and Herzegovina
BLZ,21.8845536418433,25.1265488161731,23.3876045695781,20.0040261267774,22.7482370116316,22.454027845462,135.6049980114655,Belize
BMU,4.74120900829712,4.71913293797486,0.0,3.12351145157386,4.67398924982473,,17.25784264767057,Bermuda
BOL,0.376020918655832,0.396315813733291,0.280199688978345,0.192691754686305,0.306304778884375,0.384486068924445,1.936019023862593,Bolivia
BRA,,,,15.9491507882801,,,15.9491507882801,Brazil
BRB,8.23820593365737,6.43573117950863,11.0643355420364,9.2627888832283,6.04552995293377,11.717293660234,52.76388515159847,Barbados
BTN,0.0,0.0,0.0,0.0,,,0.0,Bhutan
CAN,0.730419265035174,0.677732627404149,0.703576259471462,0.736367210227956,0.781024521758767,0.889366754487733,4.518486638385241,Canada
CHE,0.165647402701969,0.152681904633943,0.1282710726925,0.104183391477312,0.0920449358774707,0.137292356751443,0.7801210641346377,Switzerland
CHL,1.81832267137514,2.01588636090323,1.85404164797306,2.61653760573338,2.22128913258659,3.63706239010703,14.16313980867843,Chile
COL,18.4088777407507,16.4701711927777,16.149469527286,16.3437888095036,18.2523826027055,18.1266061025071,103.7512959755306,Colombia
CPV,2.12406673817691,1.9257652509666,,,,,4.0498319891435095,Cabo Verde
CRI,8.71072813276832,7.95519065278985,7.4736475254753,7.90536208022283,8.30429900753925,,40.34922739879555,Costa Rica
CYP,0.165491264957307,0.164091658318504,0.162755515987881,0.242416994400975,0.401868527907358,0.159809698610894,1.296433660182919,Cyprus
CZE,0.0759639949654862,,0.0854143511864196,0.047479079293291,0.0761125441940352,0.0952926752522826,0.3802626448915146,Czechia
DEU,0.052042754357207,0.0446338657453851,0.04810690836732,0.0648033791074002,,,0.2095869075773123,Germany
DMA,8.5223641038024,9.8838645910551,9.80007840062721,9.72296494871136,1.38097704125669,,39.31024908545276,Dominica
DNK,0.139438776355018,0.0520229469750911,,,,,0.1914617233301091,Denmark
DOM,5.76675053187473,4.91383100378421,4.26396791805242,4.40922559089078,6.11627726667886,6.72376912945714,32.19382144073814,Dominican Republic
DZA,0.128839207842097,0.0906337053823088,0.0842985339852701,0.133481648321609,0.140341444850034,0.095761495972728,0.6733560363540468,Algeria
ECU,3.02450556221546,2.75628256115891,3.75928123004143,4.58820021791393,10.2541126436468,22.5654130326093,46.94779524758583,Ecuador
ESP,0.139532377629568,0.104718659110482,0.11245163836945,0.0781187204820761,0.0821278526398893,0.105133391196649,0.6220826394281144,Spain
FIN,0.108929693145054,0.217570208546484,0.0905544959673366,,,,0.41705439765887464,Finland
FRA,0.0997753697858386,,,,,,0.0997753697858386,France
GBR_E_W,0.105541624723092,0.0541310362512336,,,0.0486597216603516,,0.20833238263467718,United Kingdom
GBR_NI,0.1069041935308,0.106290200946939,0.264037974997716,0.158268750890262,0.210176096042069,0.157023422137057,1.0027006385448431,United Kingdom
GBR_S,0.0368677186255714,0.0551663264743201,0.0183039554847803,0.0548847420417124,0.0182485081844559,,0.1834712508108401,United Kingdom
GEO,,0.848283220560265,,,,,0.848283220560265,Georgia
GRC,0.2057569099951,0.329155534548118,0.236428440109461,0.256843646525305,0.268061479900415,0.31776689602696,1.614012907105359,Greece
GRD,0.0,2.46228598630969,0.0,1.61729862610482,0.0,,4.07958461241451,Grenada
GTM,8.45662238279752,6.71209606356634,6.19653370581126,3.55359088631222,3.43584376712953,,28.35468680561687,Guatemala
GUY,2.8824031905583,2.54610357040104,4.13143988191594,3.38684549210865,2.98297096450637,,15.9297630994903,Guyana
HKG,0.0,0.0267324105750743,0.0,0.0,0.0,0.0,0.0267324105750743,Hong Kong
HND,29.1580561932979,27.1116171492466,30.2043543472832,26.9617061770761,28.7205743025191,,142.15630816942289,Honduras
HRV,0.572455310918369,0.120178296520718,0.363217936573431,0.292906535965261,0.1724080178595,0.223305252697807,1.744471350535086,Croatia
HUN,0.0,0.132973853862553,0.0307005999715917,0.0717906527134354,0.0205977763052656,0.040131198922076,0.2961940817749217,Hungary
ISL,0.0,0.0,0.0,0.0,0.270025787462703,,0.270025787462703,Iceland
ITA,,,,0.17142690325753,0.153611568335288,0.201566889531893,0.526605361124711,Italy
