,incident_id,weapon_id,weapon_type,gun_class,gun_type
748,485,772,gun,UG,
750,488,774,gun,HG,handgun
751,487,775,gun,LG,rifle
752,491,777,gun,UG,
754,493,779,gun,HG,handgun
755,493,780,gun,LG,shotgun
756,494,781,gun,HG,semiautomatic handgun
758,468,783,gun,UG,
759,496,785,gun,LG,semiautomatic rifle
760,497,786,gun,HG,semiautomatic handgun
761,498,787,gun,LG,rifle
762,498,788,gun,HG,handgun
763,498,789,gun,LG,rifle
764,499,790,gun,HG,semiautomatic handgun
765,500,791,gun,HG,handgun
766,501,792,gun,LG,semiautomatic rifle
767,502,793,gun,HG,automatic handgun
768,503,794,gun,HG,semiautomatic handgun
769,504,795,gun,UG,
770,506,796,gun,UG,
771,507,797,gun,LG,semiautomatic rifle
773,508,799,gun,LG,semiautomatic rifle
774,510,800,gun,LG,semiautomatic rifle
775,510,801,gun,HG,semiautomatic handgun
776,499,802,gun,HG,semiautomatic handgun
778,511,804,gun,HG,handgun
779,511,805,gun,LG,semiautomatic rifle
780,513,806,gun,UG,
781,514,807,gun,LG,semiautomatic rifle
782,515,808,gun,UG,
785,517,811,gun,UG,
787,518,813,gun,HG,handgun
788,519,814,gun,UG,
789,431,815,gun,HG,semiautomatic handgun
791,522,818,gun,HG,semiautomatic handgun
794,525,821,gun,HG,handgun
796,526,823,gun,UG,
799,527,826,gun,UG,
800,528,827,gun,UG,
801,529,828,gun,HG,shotgun
803,532,830,gun,UG,
804,531,831,gun,UG,
805,533,832,gun,UG,
807,534,834,gun,UG,
809,535,836,gun,UG,
810,536,837,gun,UG,
811,537,838,gun,UG,
814,540,841,gun,LG,shotgun
815,541,842,gun,LG,semiautomatic rifle
816,541,843,gun,HG,handgun
817,542,844,gun,UG,
818,543,845,gun,HG,handgun
859,570,886,gun,HG,handgun
870,418,899,gun,HG,handgun
871,529,900,gun,LG,handgun
872,513,901,gun,UG,
879,527,908,gun,UG,
880,500,909,gun,LG,rifle
881,497,910,gun,LG,semiautomatic rifle
