"- Duplicate traces, Firearms Not Recovered, Gun Buyback and Firearms Turned In are not included in the statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Statistics are based on a query of the Firearms Tracing System (FTS) on April 11, 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- All traces may not have been submitted or completed at the time of this analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Other Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,9,0,15,1,0,1,0,4,4,0,0,0,9,4,0,0,2,4,2,1,0,0,1,2,5,0,0,0,0,1,1,0,1,0,0,2,3,10,2,1,1,0,7,3,0,0,0,0,4,0,1,3,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,6,1,23,2,0,0,1,7,0,1,0,2,6,1,2,1,0,5,0,13,2,7,1,1,3,0,1,1,0,1,2,4,3,0,8,3,4,4,0,0,1,0,1,4,0,1,0,0,3,4,2,0,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derringers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,8,37,20,319,30,9,5,7,122,93,0,0,9,92,53,20,15,64,40,1,63,18,31,27,27,60,9,13,16,1,25,10,67,91,4,78,17,30,59,0,3,44,4,89,165,0,10,0,55,29,20,30,3,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destructive Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,6,0,1,0,0,3,2,0,0,1,2,3,0,0,0,1,0,3,0,0,2,0,6,1,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,1,3,3,0,0,0,3,3,0,1,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare Guns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,9,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machineguns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,68,2,193,25,12,2,0,91,23,0,0,2,19,8,1,8,20,13,1,15,12,19,21,16,12,0,21,17,2,10,21,9,34,0,34,8,4,17,8,1,7,2,143,58,5,75,2,19,20,0,4,0,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4559,518,5065,1547,22517,3412,780,694,1579,15662,11842,13,78,751,10243,5936,1488,2348,3917,6814,226,5088,1201,4025,2211,2661,6282,399,1045,2351,296,2483,1556,4412,9397,357,9308,1880,2492,6878,711,300,4802,341,8221,20182,75,1277,108,7166,3045,952,3571,118,215180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receivers/Frames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,186,3,284,20,8,2,1,274,13,2,3,0,20,13,8,11,10,9,1,131,15,35,13,12,64,9,44,12,4,2,15,39,12,2,31,32,10,28,9,1,8,1,16,136,1,3,5,20,27,1,9,0,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revolvers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,123,885,312,6505,631,241,132,269,3010,1808,10,25,164,1885,965,288,344,859,1242,40,1681,327,688,433,547,829,113,217,373,48,826,305,1553,2002,61,1512,247,634,1669,64,65,926,62,1511,3232,7,216,27,1139,650,270,461,40,43234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rifles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,240,1435,279,8262,834,270,126,130,2730,1439,8,43,292,1065,874,430,434,584,1023,108,2478,241,751,712,608,963,307,361,505,76,387,400,946,1909,150,1151,497,1189,1474,94,93,735,220,1207,3925,5,346,74,1116,874,346,565,41,46040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotguns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,112,543,149,4253,449,144,134,100,1512,831,8,26,128,704,627,340,230,336,662,61,1549,163,471,477,325,460,105,286,239,48,295,227,655,1454,90,799,218,487,907,12,46,487,108,755,2101,5,177,36,630,458,196,319,22,26378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silencers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,7,1,10,4,0,0,0,23,0,0,0,4,1,2,0,3,1,4,0,45,0,0,1,4,5,1,2,0,3,0,13,1,1,0,2,8,3,6,0,0,4,0,3,12,0,1,0,4,4,2,0,0,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tear Gas Launchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,1,91,4,4,1,7,18,0,0,1,0,16,7,0,2,53,6,1,25,0,9,10,2,1,2,0,2,0,4,1,3,9,1,4,2,0,11,6,0,2,0,22,13,0,0,0,4,2,1,1,1,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Includes Firearms Recovered and Traced between 1/1/2018 - 12/31/2018, or, if the recovery date was blank, the trace entry date was between 1/1/2018 - 12/31/2018. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Statistics are based on a query of the Firearms Tracing System (FTS) on April 11, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANY OTHER WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,1,15,1,0,0,0,3,4,0,0,0,11,1,0,2,1,1,2,1,0,3,0,2,0,1,5,8,5,1,1,1,6,0,6,2,2,14,1,0,0,3,1,17,0,1,0,4,4,0,0,0,136,1,0,6,1,12,2,0,0,3,4,1,0,0,0,1,10,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,4,0,0,0,0,6,0,0,1,0,2,7,1,0,0,0,0,1,1,0,72,3,0,3,0,10,2,1,3,3,5,1,0,0,3,9,2,0,4,0,1,0,0,1,1,0,0,2,0,0,2,2,0,2,3,11,0,2,1,1,9,0,0,1,0,3,4,0,0,0,1,3,3,0,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMBINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,3,1,23,1,1,0,0,5,6,0,0,1,5,0,6,2,1,6,0,14,1,1,1,1,5,0,0,2,4,1,2,2,1,1,2,2,5,5,0,0,0,1,5,1,0,1,0,8,2,0,1,0,135,2,0,0,1,23,9,1,0,0,1,3,0,0,0,4,2,0,0,1,3,0,4,0,0,4,0,1,5,1,1,0,0,1,1,5,0,3,2,3,11,0,0,3,2,3,6,0,1,0,1,2,1,0,0,111,0,1,1,0,33,2,0,0,0,8,4,0,0,2,2,2,0,3,1,6,0,5,2,0,0,3,9,2,2,2,0,0,0,1,7,0,4,1,3,10,0,0,0,1,4,6,0,0,0,10,3,1,1,0,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERRINGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1,45,25,250,26,9,5,5,130,101,0,3,6,69,57,13,14,60,45,1,42,9,31,21,24,43,2,9,20,2,30,21,68,113,2,88,10,33,67,0,6,28,3,89,150,0,8,1,50,31,28,21,1,1972,53,3,24,18,202,40,9,4,4,123,97,0,0,11,73,62,10,16,43,41,7,17,3,42,13,24,29,10,12,33,3,17,18,54,81,1,61,11,29,56,0,2,43,3,68,118,0,16,1,46,28,23,25,1,1728,43,1,45,16,233,35,6,7,3,135,100,0,0,7,71,64,16,22,32,65,2,21,10,33,8,22,44,5,10,26,2,20,23,82,108,4,82,30,32,61,0,2,59,11,86,144,0,10,1,37,23,23,20,4,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESTRUCTIVE DEVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,6,2,1,1,0,3,1,0,0,0,4,0,0,0,1,0,0,3,0,7,0,0,1,0,0,1,2,0,2,2,0,0,2,0,1,11,1,0,1,0,1,3,0,0,0,0,1,1,0,2,67,0,0,9,2,5,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,0,1,4,1,1,0,0,0,0,0,0,3,0,2,1,0,0,9,0,0,9,0,1,1,2,1,0,0,0,61,0,0,3,1,3,1,0,0,0,4,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,5,1,3,0,0,0,0,0,0,0,1,0,4,4,0,0,0,3,6,0,1,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLARE GUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINEGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10,92,14,294,33,21,4,1,169,86,5,21,24,440,64,15,39,95,13,7,32,22,102,9,17,102,4,22,74,22,7,15,52,55,3,91,26,44,160,20,9,39,6,61,358,0,115,0,77,39,48,43,17,3178,8,1,27,15,111,6,4,1,3,30,16,0,7,6,21,27,0,13,6,8,1,3,1,12,13,9,8,9,9,5,22,3,3,8,10,0,14,2,5,22,1,0,6,2,17,71,0,21,0,7,10,3,5,0,612,16,3,345,18,230,3,2,1,4,633,46,0,1,4,64,17,3,15,8,5,5,9,2,162,11,3,47,1,1,56,3,14,135,66,148,0,40,24,4,21,2,0,6,1,28,219,0,4,0,17,12,1,8,1,2469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PISTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,745,5917,2145,23163,3642,899,745,1786,16773,12548,16,75,714,11175,6053,1424,2190,4317,7467,265,4778,1316,4780,2451,2754,7817,346,1068,3770,226,2671,2160,4549,10717,366,10015,1801,2653,7588,921,256,5069,342,8723,20416,73,1543,87,7739,3212,1251,3526,145,232398,5636,487,8115,2468,27455,4390,813,1041,1824,20171,14838,15,59,760,11769,6700,1641,2685,4381,8029,330,5100,1415,8925,2772,3428,7393,558,1325,4669,377,2804,2410,4889,12952,426,13151,2447,2937,9456,380,286,6951,410,9851,28713,197,1861,140,9200,3286,1164,4620,167,278267,6888,506,8963,2675,36768,4923,1201,1222,2024,26179,16327,17,53,895,15481,8056,1783,3146,5065,10179,288,6269,2313,9930,3417,3518,8097,563,1298,5354,404,3403,2690,7144,16480,437,17001,3904,3266,11194,721,508,8333,457,12045,36045,66,2089,132,9245,3505,1083,5666,151,339367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVER / FRAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,101,1,257,13,11,5,8,82,16,0,16,2,75,34,6,14,100,19,5,54,5,27,6,3,19,0,7,19,2,6,28,41,21,4,33,8,10,31,5,1,18,1,32,142,1,9,1,18,26,18,8,0,1376,10,1,32,7,81,15,4,0,52,46,33,1,2,5,36,58,3,9,7,8,1,41,2,60,8,3,8,15,0,7,0,7,5,18,17,1,9,7,9,29,7,0,8,2,18,202,2,9,7,20,32,9,5,0,978,2,4,75,5,123,16,5,0,7,155,43,0,4,1,68,10,2,11,5,78,2,41,7,14,4,4,65,14,19,7,3,8,14,46,34,5,19,12,14,31,2,1,12,5,78,139,0,9,1,10,17,3,3,0,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVOLVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,96,793,521,5965,636,197,166,191,2931,1812,8,26,173,1782,878,270,262,872,1256,58,1193,291,779,430,512,809,90,189,724,33,824,401,1276,2004,92,1509,236,657,1592,50,64,785,63,1454,2721,6,210,22,1149,673,321,439,28,41419,888,86,731,314,5439,682,165,147,156,2770,1662,4,14,167,1353,789,241,314,534,1023,48,1017,213,744,332,402,687,149,195,524,53,634,364,1129,1977,84,1365,283,627,1627,11,55,901,90,1263,2980,9,233,25,1045,575,247,379,32,37778,804,69,649,247,5356,654,181,129,129,2897,1457,2,11,162,1507,775,196,360,486,1145,63,860,337,673,337,358,686,115,205,458,75,584,322,1324,1980,82,1525,442,622,1433,26,63,907,90,1260,2881,3,243,26,919,539,191,443,35,37323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIFLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,179,1358,473,7655,805,170,168,86,2528,1542,11,88,276,1057,855,447,346,906,1162,130,1880,179,712,674,468,1018,270,283,646,59,473,521,805,2287,158,1225,482,1304,1662,116,34,710,187,1326,3426,8,422,40,1265,955,331,563,77,45662,836,191,1463,374,7288,1002,91,160,107,2638,1740,7,50,211,1129,869,413,402,624,1362,139,1703,122,1128,560,515,835,454,396,621,135,477,529,696,2523,206,1263,440,1171,1822,47,48,886,206,1293,4144,11,432,97,1159,935,442,561,40,46993,702,134,1393,409,7695,885,129,159,90,2955,1658,13,35,207,1190,889,338,470,937,1582,106,1567,356,1047,455,574,812,362,473,501,137,399,629,1014,2694,157,1400,567,1081,1667,87,57,853,165,1318,4127,3,446,59,1283,934,252,568,79,48099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOTGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,94,593,322,3952,452,102,126,50,1385,863,3,26,129,829,570,331,178,543,676,58,1398,106,491,508,260,515,87,213,288,43,279,268,557,1496,76,751,234,553,962,4,39,439,75,797,1886,0,187,30,788,518,179,338,33,26202,462,74,603,182,3840,461,50,144,46,1313,859,3,12,96,564,528,272,239,342,631,96,1094,72,497,364,247,375,136,237,334,65,265,269,422,1519,109,687,239,493,946,2,27,529,78,668,2104,6,237,44,666,523,313,317,18,24719,378,77,611,165,3456,518,89,154,43,1482,819,8,11,94,750,519,236,265,250,749,46,1028,182,440,365,254,435,124,230,305,72,249,284,601,1585,90,739,316,425,903,2,34,538,98,573,1990,1,223,24,638,529,139,346,24,24506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILENCER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,35,2,4,4,0,1,0,26,4,0,4,0,3,3,2,30,0,3,0,11,1,1,1,1,2,1,0,1,0,4,3,3,1,0,0,3,1,1,0,0,1,0,1,15,0,3,0,1,6,2,3,0,194,11,0,5,2,9,1,1,0,0,20,11,0,5,1,1,34,0,1,0,5,1,4,0,2,2,0,1,0,3,1,1,0,0,2,3,0,3,0,5,3,0,0,1,2,1,13,0,1,5,0,5,0,4,1,171,3,1,20,3,8,6,0,0,0,16,6,0,0,0,2,5,1,2,0,7,0,23,0,1,2,2,4,0,0,2,2,0,1,2,2,3,1,1,2,1,0,0,1,2,0,29,0,5,0,8,6,1,2,4,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
