Receiver/Frame,7,12,46,3,253,16,0,10,1,35,17,0,0,5,19,9,3,0,36,4,1,32,2,16,3,6,7,4,2,8,4,0,4,6,22,1,15,10,12,25,7,0,2,2,16,58,0,2,0,31,25,10,3,1,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revolver,882,161,786,190,6681,668,257,159,280,3130,1905,4,28,196,2217,1044,268,319,721,1349,42,1274,343,1005,387,667,725,91,232,645,34,859,299,1892,2162,55,1702,207,662,1736,71,79,1012,75,1689,3231,20,209,15,1229,752,253,474,34,45407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rifle,841,198,1240,264,7902,704,229,113,116,2436,1449,15,43,311,1018,858,337,395,917,1346,94,1832,200,918,621,629,596,288,306,579,58,382,295,1165,2071,139,1132,375,976,1330,140,52,603,202,1240,3486,11,321,44,1199,986,464,552,67,44085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotgun,486,87,581,126,4342,387,159,107,81,1328,858,4,17,158,791,546,299,271,529,766,55,1476,126,590,477,426,394,89,276,361,42,297,192,831,1493,91,823,168,469,872,22,25,490,88,751,2262,3,136,31,784,574,238,338,28,27241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silencer,2,0,133,1,10,2,0,0,0,7,6,0,0,2,0,7,0,8,4,0,0,5,0,1,0,0,0,0,0,0,0,0,9,0,2,2,1,764,3,1,0,0,0,0,3,20,0,3,0,1,6,0,0,1,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tear Gas Launcher,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Type,7,2,5,2,46,3,12,0,5,12,2,0,0,5,10,6,2,1,52,6,0,10,3,14,4,0,5,1,0,1,1,2,0,21,6,0,7,3,1,12,5,0,5,1,13,42,0,4,0,3,2,1,1,1,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,6666,1075,6638,1525,41527,4905,1359,1114,2101,21088,15190,38,139,1354,14037,8200,2197,2949,5846,10157,387,8648,1943,6803,3662,4404,6541,798,1763,5046,299,4002,2090,9151,14659,565,12748,3534,4368,10774,988,468,6423,680,11168,27958,122,1668,155,10021,5102,1950,4796,289,322078,6512,1010,8251,2315,42488,5414,1469,1097,2095,23458,16058,42,176,1353,14062,8493,2577,3396,5847,9823,441,11096,1979,6036,3909,4205,8690,947,1990,3517,478,4034,2551,7689,14913,665,12928,2915,4859,11066,906,510,7017,739,11982,29834,98,2106,252,10156,5120,1792,4965,228,336549,7674,1133,8983,3516,41883,5637,1423,1224,2134,24068,17007,43,260,1325,15486,8539,2518,3085,6997,10666,531,9465,1933,6975,4112,4044,10360,817,1803,5576,412,4309,3432,7363,16830,707,13853,2810,5272,12174,1128,410,7100,686,12528,29195,88,2510,182,11124,5488,2193,4948,305,354264,7920,845,11021,3389,45246,6615,1143,1506,2239,27134,19276,30,150,1258,14986,9087,2583,3682,5982,11117,624,9080,1837,11423,4072,4631,9653,1342,2181,6207,658,4225,3606,7254,19127,830,16562,3434,5288,14044,450,418,9343,796,13195,38394,228,2812,321,12150,5413,2220,5924,261,393212,8847,797,12113,3541,54338,7051,1617,1678,2364,34491,20472,40,115,1376,19188,10349,2576,4303,6812,13823,513,9857,3222,12329,4605,4744,10213,1188,2240,6735,705,4685,4114,10310,23104,778,20826,5302,5459,15370,847,666,10713,832,15531,45618,73,3030,243,12184,5586,1698,7062,298,456571,10519,1200,14019,3494,56262,7917,1917,1676,3079,36335,22656,46,287,1495,19706,11320,3196,4521,7524,16235,1398,11137,3665,10145,5327,5358,10159,1305,2141,5959,710,5248,3955,11987,25085,832,20520,5657,5586,17543,5147,1017,12106,929,17182,56466,55,3453,299,14465,6191,2104,8007,340,504882
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- Includes Firearms Recovered and Traced between 1/1/2017 - 12/31/2017, or, if the recovery date was blank, the trace entry date was between 1/1/2017 - 12/31/2017. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
